BOTTLE,20030224WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20030224
#original HYD file: p14chy.txt   Fri Feb 21 12:53:13 2003
#original SUM file: p14csu.txt   Mon Feb 24 14:35:52 2003
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,DEG C,TU
     316N138_7,  P14C,     1,  1,     30,     30,2,19920901,1129,-35.6333, 175.0367, -999,      1.3,  14.8594,  35.3941,2,  35.3937,2,    245.5,2,    242.4,2,     3.94,2,     4.63,2,     0.24,2,     0.49,2,    2.636,2,    1.381,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.8592,-999.000
     316N138_7,  P14C,     1,  1,     31,     31,2,19920901,1129,-35.6333, 175.0367, -999,     11.9,  14.8600,  35.3942,2,  35.3943,2,    240.3,2,    242.4,2,     3.70,2,     4.67,2,     0.24,2,     0.49,2,    2.616,2,    1.378,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.8582,-999.000
     316N138_7,  P14C,     1,  1,     32,     32,2,19920901,1129,-35.6333, 175.0367, -999,     52.4,  14.3983,  35.3410,2,  35.3404,2,    242.9,2,    232.7,2,     4.09,2,     6.16,2,     0.22,2,     0.57,2,    2.520,2,    1.332,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.3906,-999.000
     316N138_7,  P14C,     1,  1,     33,     33,2,19920901,1129,-35.6333, 175.0367, -999,    102.5,  14.0110,  35.2979,2,  35.2955,2,    231.7,2,    236.7,2,     4.27,2,     6.73,2,     0.22,2,     0.60,2,    2.543,2,    1.329,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 13.9962,-999.000
     316N138_7,  P14C,     1,  1,     34,     34,2,19920901,1129,-35.6333, 175.0367, -999,    152.7,  13.3401,  35.2018,2,  35.2021,2,    226.4,2,    223.3,2,     5.30,2,     9.48,2,     0.25,2,     0.77,2,    2.283,2,    1.190,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 13.3187,-999.000
     316N138_7,  P14C,     1,  1,     35,     35,2,19920901,1129,-35.6333, 175.0367, -999,    202.5,  12.5906,  35.1085,2,  35.1069,2,    207.8,2,    207.6,2,     6.54,2,    12.17,2,     0.14,2,     0.94,2,    2.002,2,    1.026,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 12.5632,-999.000
     316N138_7,  P14C,     1,  1,     36,     36,2,19920901,1129,-35.6333, 175.0367, -999,    222.8,  11.8033,  35.0077,2,  35.0129,2,    195.9,2,    197.1,2,     7.78,2,    14.66,2,     0.06,2,     1.09,2,    1.721,2,    0.885,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 11.7745,-999.000
     316N138_7,  P14C,     2,  1,     27,     27,2,19920901,1322,-35.4533, 175.0683, -999,      2.2,  14.9445,  35.4125,2,  35.4114,2,    243.1,2,    241.5,2,     3.72,2,     4.39,2,     0.25,2,     0.45,2,    2.610,2,    1.363,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.9441,-999.000
     316N138_7,  P14C,     2,  1,     28,     28,2,19920901,1322,-35.4533, 175.0683, -999,     12.0,  14.9546,  35.4119,2,  35.4128,2,    242.9,2,    240.9,2,     3.47,2,     4.37,2,     0.25,2,     0.46,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.9528,-999.000
     316N138_7,  P14C,     2,  1,     29,     29,2,19920901,1322,-35.4533, 175.0683, -999,     51.3,  14.6645,  35.3797,2,  35.3803,2,    237.2,2,    237.6,2,     3.66,2,     5.21,2,     0.26,2,     0.50,2,    2.563,2,    1.358,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.6569,-999.000
     316N138_7,  P14C,     2,  1,     30,     30,2,19920901,1322,-35.4533, 175.0683, -999,     95.7,  14.4323,  35.3524,2,  35.3523,2,    236.5,2,    238.6,2,     3.84,2,     5.63,2,     0.28,2,     0.54,2,    2.589,2,    1.347,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.4181,-999.000
     316N138_7,  P14C,     2,  1,     31,     31,2,19920901,1322,-35.4533, 175.0683, -999,    143.9,  14.2849,  35.3300,2,  35.3301,2,    236.9,2,    239.1,2,     3.81,2,     5.91,2,     0.25,2,     0.55,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.2638,-999.000
     316N138_7,  P14C,     2,  1,     32,     32,2,19920901,1322,-35.4533, 175.0683, -999,    194.7,  13.2063,  35.1783,2,  35.1782,2,    228.9,2,    231.1,2,     4.63,2,     9.15,2,     0.19,2,     0.75,2,    2.353,2,    1.218,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 13.1792,-999.000
     316N138_7,  P14C,     2,  1,     33,     33,2,19920901,1322,-35.4533, 175.0683, -999,    244.4,  12.9423,  35.1470,2,  35.1450,2,    219.0,2,    215.5,2,     5.86,2,    11.00,2,     0.21,2,     0.87,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 12.9086,-999.000
     316N138_7,  P14C,     2,  1,     34,     34,2,19920901,1322,-35.4533, 175.0683, -999,    291.9,  11.7342,  35.0027,2,  35.0024,2,    197.9,2,    198.8,2,     7.96,2,    14.75,2,     0.07,2,     1.10,2,    1.719,2,    0.874,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 11.6965,-999.000
     316N138_7,  P14C,     2,  1,     35,     35,2,19920901,1322,-35.4533, 175.0683, -999,    339.9,  10.3620,  34.8393,2,  34.8481,2,    191.4,2,    191.5,2,     9.84,2,    18.11,2,     0.01,2,     1.30,2,    1.370,2,    0.705,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 10.3215,-999.000
     316N138_7,  P14C,     2,  1,     36,     36,2,19920901,1322,-35.4533, 175.0683, -999,    362.6,  10.2482,  34.8291,2,  34.8300,2,    190.8,2,    191.4,2,    10.25,2,    18.49,2,     0.02,2,     1.32,2,    1.330,2,    0.690,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 10.2052,-999.000
     316N138_7,  P14C,     3,  1,     23,     23,2,19920901,1528,-35.2300, 175.1100,  713,      2.4,  15.1186,  35.4324,2,  35.4314,2,    243.3,2,    239.6,2,     3.49,2,     4.14,2,     0.22,2,     0.44,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 15.1182,-999.000
     316N138_7,  P14C,     3,  1,     24,     24,2,19920901,1528,-35.2300, 175.1100,  713,     12.2,  15.1160,  35.4321,2,  35.4318,2,    239.5,2,    239.3,2,     3.25,2,     4.13,2,     0.22,2,     0.45,2,    2.593,6,    1.348,6, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 15.1141,-999.000
     316N138_7,  P14C,     3,  1,     25,     25,2,19920901,1528,-35.2300, 175.1100,  713,     50.9,  15.0486,  35.4221,2,  35.4222,2,    234.7,2,    235.7,2,     3.01,2,     4.56,2,     0.24,2,     0.46,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 15.0408,-999.000
     316N138_7,  P14C,     3,  1,     26,     26,2,19920901,1528,-35.2300, 175.1100,  713,    100.1,  14.0970,  35.2814,2,  35.2804,2,    224.8,2,    225.1,2,     4.46,2,     7.79,2,     0.14,2,     0.66,2,    2.383,2,    1.234,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.0825,-999.000
     316N138_7,  P14C,     3,  1,     27,     27,2,19920901,1528,-35.2300, 175.1100,  713,    147.5,  13.6545,  35.2339,2,  35.2401,2,    217.1,2,    216.1,2,     5.07,2,     9.34,2,     0.11,2,     0.75,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 13.6335,-999.000
     316N138_7,  P14C,     3,  1,     28,     28,2,19920901,1528,-35.2300, 175.1100,  713,    188.9,  13.2739,  35.1855,2,  35.1858,2,    211.1,2,    209.2,2,     5.88,2,    10.73,2,     0.04,2,     0.82,2,    2.101,2,    1.119,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 13.2475,-999.000
     316N138_7,  P14C,     3,  1,     29,     29,2,19920901,1528,-35.2300, 175.1100,  713,    233.9,  12.8545,  35.1367,2,  35.1361,2,    201.5,2,    203.4,2,     6.49,2,    12.08,2,     0.01,2,     0.92,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 12.8225,-999.000
     316N138_7,  P14C,     3,  1,     30,     30,2,19920901,1528,-35.2300, 175.1100,  713,    284.4,  11.7162,  35.0071,2,  35.0073,2,    193.9,2,    193.9,2,     7.95,2,    15.12,2,     0.01,2,     1.10,2,    1.649,2,    0.839,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 11.6795,-999.000
     316N138_7,  P14C,     3,  1,     31,     31,2,19920901,1528,-35.2300, 175.1100,  713,    338.2,  10.6945,  34.8854,2,  34.8869,2,    198.8,2,    192.1,2,     9.41,2,    17.48,2,     0.01,2,     1.25,2,    1.414,2,    0.721,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 10.6533,-999.000
     316N138_7,  P14C,     3,  1,     32,     32,2,19920901,1528,-35.2300, 175.1100,  713,    423.3,  10.1452,  34.8152,2,  34.8150,2,    192.8,2,    192.6,2,    10.03,2,    18.71,2,     0.01,2,     1.32,2,    1.296,2,    0.655,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 10.0952,-999.000
     316N138_7,  P14C,     3,  1,     33,     33,2,19920901,1528,-35.2300, 175.1100,  713,    472.0,   9.5472,  34.7524,2,  34.7524,2,    192.6,2,    193.2,2,    11.71,2,    20.00,2,     0.00,2,     1.40,2,    1.165,2,    0.596,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  9.4934,-999.000
     316N138_7,  P14C,     3,  1,     34,     34,2,19920901,1528,-35.2300, 175.1100,  713,    580.0,   8.1137,  34.6031,2,-999.0000,9,    197.5,2,    198.4,2,    15.08,2,    22.86,2,     0.01,2,     1.58,2,    0.809,2,    0.413,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  8.0534,-999.000
     316N138_7,  P14C,     3,  1,     35,     35,2,19920901,1528,-35.2300, 175.1100,  713,    672.9,   7.8024,  34.5732,2,  34.5715,2,    198.9,2,    199.3,2,    16.55,2,    23.61,2,     0.01,2,     1.63,2,    0.719,2,    0.366,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  7.7336,-999.000
     316N138_7,  P14C,     4,  1,     23,     23,2,19920901,1804,-35.0200, 175.1517, -999,      2.6,  14.2769,  35.3160,2,  35.3158,2,    236.6,2,    237.3,2,     4.04,2,     6.32,2,     0.17,2,     0.57,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.2765,-999.000
     316N138_7,  P14C,     4,  1,     24,     24,2,19920901,1804,-35.0200, 175.1517, -999,     12.7,  14.2596,  35.3129,2,  35.3126,2,    236.7,2,    237.8,2,     4.00,2,     6.31,2,     0.18,2,     0.57,2,    2.560,2,    1.328,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.2577,-999.000
     316N138_7,  P14C,     4,  1,     25,     25,2,19920901,1804,-35.0200, 175.1517, -999,     52.9,  14.0553,  35.3001,2,  35.3006,2,    241.1,2,    239.0,2,     3.96,2,     6.37,2,     0.20,2,     0.57,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.0477,-999.000
